Sentimen;Text
Positif;4 bulan yg lalu BB saya 90kg ga nyangka skrng bisa 70kg dengan menerapkan diet defisit kalori dan olahraga 45menit setiap harirasanya ga kyk lg diet krna aku menjalaninya dengan santai
Positif;Tp hampir tiap hari makan bakwan atau mendoan tp di batasi cukup 12 biji trs minum air putih yg bnyak gtu kak buat menetralisir
Positif;Jrang bgt sih makan mkanan yg di goreng
Negatif;menu makannya di goreng bisa ka
Positif;Sangat termotivasi sekali ayo temen temen kita maafkan diri kita sendiri 
Positif;Yuk semngat diet biar sehat semangatdiet sehat bareng
Negatif;Sakit gigi cpt kuruus
Positif;Aq skrg lg berjuang diet
Positif;Saya turun 19 kg
positif;Saya dulu bb 49 kg Skrng 75kgstiap hari mkn ikan/daging nyemil mlm Suka mkn makanan yg siap saji gx suka olah raga gx suka Sayuran nyesel bngt sih skrng gx nyaman klo pke baju
Positif;Kita sama wkwk
Positif;Suka sama video ini 
Positif;Kk aku pengen sekali dietgimna caranya ya kk
Positif;Makasih kak motivasinya Aku lagi diet jadi semangat
Positif;Makasih kaa Udah jadi penyemangat
Positif;Gimana caranya kak bb aku 115 kg mlh pgn bb 53 kg gt tinggi 158 cm Diet apa kakak jalani itu
Positif;gmn caranya kak sy udah diet GK pernah berhasilskarang kok malah tambah gemuk skarang umur sy udah 45skarang berat badan sy dulu 70 puloh skarang naik 85
Positif;Bener banget tantangan terbesar salah satunya yaitu diragukan sama orang2 sekitar
Positif;Konsisten sulit buat akuliat makanan enak langsung makan
negatif;Mau cerita pa mau kasih resep
Positif;Aku 90kg masa UK baju 7L liat vt Kaka jadi ayo kita mau mulai diet
positif;Minum air putih brp liter per hari kak 
Positif;Sangat menginspirasi untuk diet sehat
Positif;Memang betul mendengarkan omongan org lain / bullying yg ada diri kita stress sendiri Inget pd jaman waktu sklh di blg gemuk di saat kuliah di bilang gembrot ada saat nya bb turun sendiri krna faktor kelelahan yg parah saat kuliah bb udah turun ttp di bully Kok kurusan skrg kaya nenek peyot Ampun capek doang dengerin omongan org yg gak berfaedah si Alhamdulillah Skrg bb stuck badan seger aja entah kurus atau gemuk yg ptg ngerasa sehat bugar jarang sakit jg
Positif;KK apakah minum air es bisa menurunkan berat badan
Positif;Masyaa Allah ini vindi temen ku sekampus Jadi inget waktu KKN sekitar tahun 2015 kalau ndak salah waktu itu vindi emang bilang kalau lagi diet Ga nyangka sekarang udah berhasil dietnya Selamat ya vindi karena udah sukses dietnya 
Positif;Langsung inti 708
Positif;Termotivasi banget sama kata2 kak vindi Semoga bisa mengembalikan lagi badan kurus normal ku seperti semula
Positif;Aku sebelum nikah BB 40 45 pas nikah udah 2 tahun BB aku 62  pengen banget diet karena mens semakin gak teratur dan bullying dari sekitar juga  minta doanya semoga bisa konsisten diet nya 
Negatif;Dia mah makannya emang byk Aku mah biasa ajporsi mknku porsi biasa sama ky org lain yg porsi normal diet sbulan no nasi
Positif;Semangat pejuang diet saya turun 19 kg dengan mudah
Positif;Pake diet apa kak
Negatif;Paling susah konsisten
Positif;Huhuhu benerr
Positif;Termotivasi banget
Positif;Kk aku sekarang diet pola makan aku kurangi olahraga juga iya tp udah 5 hari aku mulai pusing dan juga susah napas agak sesak kadang2
Negatif;Karena banyak tugas
Positif;Mbk gimana cara nya
Positif;Bismillah semoga Bisa seperti kamu Bratku 89 selalu di hina di sama2in dgn binatang dulu prnah diet thun2017 turun 65 tapi sekarang udah rakus lagi hait aku juga 2 tahun sekali
Positif;Didalam jiwa yang sehat terdapat tubuh yg kuat Tentukan dulu tujuan kalian butuh diet buat apaan sih Mau langsing atau mau sehat
Negatif;Kegiatan mu dulu adalah kegiatan ku yg skrg mba Nafsu makan yg slalu memuncak dan stlh kenyang langsung pengen rebahan ajaa Dan bener donk naik 5kg
Positif;Bener kak
Positif;Kereeen banget kakak ini
Positif;Dr BB kaka sbelum diet sampe berhasil diet itu gimna tuh ka dengan kulit kaka apa mengendor atau menggelambir ka 
Negatif;Kebanyakan ngobrol
Negatif;Saya gk makan apapun ttp endut
Negatif;Emng krasa banget sih gendutan bikin badan sakit sakit dag ga fit sampe sampe aku tiap bulan ka klinik
Positif;Waaw keren bnget sangat bermanfaat sekali trimaksih telah berbagi pengalaman dan tips nya kaka sukses selalu buat chanelnya kaka
Positif;Ka Vindy memotivasi bngetaku juga lgi berjuang mulai dri awal lagi dlu pernah diet udah sempat turun tpi gatau brapa kg pokonya sebelum diet BB ku 80 kg nah pas udah kurusan orangliat tu mukaku kyk layu dan aku ngrasa bgitu jugapdahal aku gk ngrasa lemes sama sekalitrus itu rambut ku jdi pd rontok sma kuku jari klingking ku mati Dan baliklah aku seprti dulu msih jaga pola makan tpi nyemil nya aku sering dan aku ngrasa BB ku naik lagibaju yg dulunya muat brasa agak sesakskrng BB ku 73 kg ngumpulin niatnya itu susah bnget oh iya dlu awal diet april 2020skrng mau mulai lagi gamau kyk dulu lagi
Negatif;Dietnya kurang makan protein
Positif;Nahh aku lagi diet nih kak karena aku ngrasa nggak menstruasi 4 bulan ini
Positif;Kak setelah kurus apa kah haid nya sudah lancar
Positif;Kak kasih tips agar cepat turun berat badan 
Positif;Beratku 63kg dan anakku beratnya 40kg kelas 4sd
Positif;Bismillah bb awal 807 diet 3mnggu bisa turun sekarang bb 757 semoga bisa konsisten ke 55
Positif;Persis banget kayak aku
Positif;Awal diet itu krn dokter suruh aku turunin BB supaya tulang lumbar yg retak krn di tabrak mobil bisa lekas membaik1 bulan pertama BB aku lg turun 3
Positif;Bnr bngt tuh ngmgn mba a
Positif;sangat memotivasi 
Positif;Cara diet kak vindi awak gmna Ksh tau caranya dong kak
Positif;Gua 2019 dari bb 85 kg brhasil turun ke 60 kg dan gagal diet sampe sekarang di bb 105 dan hari ini gua memutuskan untuk diet lagi
Positif;Bagi tips bisa turun dari 85 ke 60
Negatif;Kalo karena gen itu kenapa soalnya badan saya besar tapi tidakbuncit
Positif;Bb aku stuck di 76
negatif;Ngk apa di bilang penyakitan yng penting kurus daripada gemu susah mau gerak
Positif;Saya s UK ka gtu cepat lapar trus ghmna iya ngilangin nafsu makan ku biar berkurang
negatif;Mau diet tapi kok gue laper mulu klo ga makan jd pusing pala barbie
Positif;Perbanyak minum ka
negatif;Banyak bgt diet yg caranya beredar luas Diet mayo mayoritas gagal
negatif;Kak bagaimana kalau tiap hari makannya cuma 1 atau 2 tpi tetap aja gendut
Positif;Lagi proses diet nih aku semoga bisa turuunn bb aku
Negatif;Aku pcos mens g teratur
Positif;bismillah
Positif;Semangat kakak Terima kasih
Positif;Kak bagus banget ceritanya Bismillah mulai diet lagi akuu semoga turun 10kg kak BB ku sekarang 70 mau ke 60
Negatif;Kayaknya mager
Positif;Saya cuma ingin sehat gitu aja sudah
Negatif;Kini penyaket aku kolestrol tinggi tensi tinggi kadasrgula tinggi dahlah pokoknya dk nyaman di banget
Negatif;Nng umur saya memang dah tua tapi aku ingin hidup sehat umur 65 berat badan 75 tinggi aku 151 ygpaleng menyedihkan d perot tapi aku punya saket lambong kalo laper sedikit badan lemes gemetar bagai mana cara mengatasinya
Positif;Trmksh inspirasi nya
Negatif;Aku aj yg mkn cm 1x aj gendut
Positif;Keren si 
Negatif;Owalah ya ya Ngurusin badan sulit Ngegedein nya aja cepet bngt Hoalah
Positif;Alhamdulillah blum sampe sebulan ini udah turun 5 kilo dari 68 skrg 63 
Negatif;Obat pelangsingny ap ya kak
Positif;Ya Alloh pingin bisa turun BB juga
Positif;Makasih sharingnya Kakaku akan coba lagimenembus turun ke 60semangat
Negatif;1 tahun lalu aku diet instant minum obat pelangsing
Negatif;Merk obat dietnya apa kak
Positif;Aku lgi dititik badan gak sehat bgt Menstruasi gk lancar karna hormon BB lagi naikk bgt Bismillah smga bsa sehatt
Positif;Bismillah Semoga 2023 Los 15 kg Secara sehat
Positif;Bismillah IAllah saya juga bisa
Negatif;Mungkin ga sih Bb kita bisa turun hanya dengan diet tanpa di barengi dengan olahraga
Positif;117kg ajhhh bisaa
Positif;Samaan niih spertinya mmg sy terlalu banyak mengeluh
Positif;Akutuh udh lama niat diet Cuma gajadi aja Bukannya kurang niat
Positif;Kalo aku kak hal paling terberat ketika diet itu melawan rasa malas
Positif;Mba nya cara bicaranya enak banget jadi betah dengerinnya Thanks ya sharing dan inspirasinya
Negatif;JD diet nya gmn 
Negatif;Q mkn cm 2 x tp tetep gemuk pdhl jarang ngemil tp klo puasa q cpt turunnya
Negatif;Sama banget tuh pas waktu gagal dietnya
Positif;Aku dengerinnya pake kecepatan 15 hehe
Negatif;Tantanganku paling susah adalah menahan hasrat makan mie instan dan minuman soda
Positif;Coba aja ganti cemilan dg timun atau salak Atau perbanyak timun Coba jalani itu selama 1 minggu Insya Allah seterusnya akan terbiasa
Negatif;Gw selalu diejek gendut 
Positif;Motivasi buat pejuang diet
Negatif;Iih bener bangeeettt suka di ledekin klo diet
Negatif;Gimna kk aku diet gk pernah turun
Positif;Semangat untuk para pejuang diet sehat
Positif;Saye baru 44 kg
Positif;Min saya pernah berusaha diet
Positif;coba makan buah dan sayur ajj
Positif;Mksih ilmunya de smoga Ade sll d beri kshatan dan tetap smangat dan sya mau nyoba diet cara ini smoga berhasil trm ksh
negatif;yg menyedihkan dr gemuk itu Pakai baju apapun ditanya lagi hamil ya 
Positif;Suka banget pesannya buat teman2 Fit Skwad
Positif;Pengen turun 10kg aja Gimn yach
Positif;Skip orang mau ngomong apa
Positif;Mantap saya pasti bisa diet
Positif;Aku kudu mewek Aku yg 70 kg mau turun ke 60 aja udah gak tahan Salut kak  aku jd mau on fire lg
Positif;Ini Kya di Vidio yt ka Yulia 
Positif;Diet karena di panggil ibu dan yg manggil bukan karyawan saya  wah udh kyk ibu2 ni
Positif;Skrang aq disuruh diet sama Dr berhub dgn lutut yg mulai sakit
Positif;Pengen 48 Kilo huhu
Positif;Jd ini caradiet nya gimana
Negatif;Aku nurunin 4 kilo aja susah
Negatif;Ibu menyusui susah bgt kak 
Positif;Aku berat 90 ka tolong kasih tau resepnya
Positif;Aku mau ah ajarin ka
Negatif;Kurus salah 
Positif;Diet itu cita ku aku belum bisa untuk diet
Positif;Saya juga pejuang diet Pertama saya pesimis dgn keberhasilan diet mengingat umur saya 54 thn Karena metabolime tubuh sdh menurun Sebelumdiet bb saya 68 kg sesudahdiet 50 kg selama 8 bln  Diet saya diet kenyang tidak menyakiti diri sendiri Hanya menghindari gula  gorengan  Dan perbanyak sayur dan buah Saya rutin olga  melihat olga pada SKWAD FITNESS Thanks Skwad fitness Tidakada yg tidak mungkin asal konsisten Diet adalah salah satu menyayangi diri sendiri sehingga sehat bonusny ramping sehingga percaya diri
Positif;Kehidupan sosial tidak pernah lupurt dari bullying Lebih baik bersikap bodo amat
Positif;Wih Kerreeen jauh bgt brubahnya Jd kliatan lbh cantik gak ky sapi glonggongan lg  mgkn kalimat ini sarkas tp bg yg sdh berhasil turun pasti ngetawain diri sendiri iya yah dulu bentuknya ky blepet2 sapi
Negatif;Tantangan berat yg ku hadapi buat diet adalah ketika aku mulai diet tiba2 ibu ku mendadak jadi chef propesional dgn memasak makanan yg enak2
Positif;Hahahah bener banget
Negatif;Susahnyatu klw dah di pertengahan jalan 
Positif;Fokus dengan cara ngomongnya
Negatif;temen aku ada yg menstruasi nya terganggu katanya gara hormon terganggu karena stress tapi menurut aku dia obesitas
Negatif;Ngemeng muluuuu
Positif;BB ku sih 48 ingin turun 40
Positif;Konsisten itulah intinya
Negatif;Sya uda coba ngurang mkan dan nyemil tetap aja gemuk
Positif;Kalau berat 54 kg itu normal gak dg tinggi 156 cm
Positif;BB ideal TB110 =156110=46 kg
Positif;rahasia nya apa hrus makan tepung
Positif;diet itu aslinya tetep bisa makan enak loh kita selama ini miskonsepsi soal diet coba deh baca bukunya kak Yulia Baltschun aku berhasil turun 10kg karena buku itu
Positif;Ngucapin diet itu gampang bgt yg susah itu ngejalanin nya
Negatif;Ini bukan cara tapi cerita min
Positif;Semangat terus
Negatif;Didengar kan kok banyak omong jadi nggak sabar
Positif;Ya allah aq penggen kurus 
Negatif;Aduuuh mbk kelamaaaaaan ceritanya
Negatif;Seperti dietx Herbalife
negatif;Bertele tele langsung solusi diet mbak
Positif;Coba baca buku i hate diet kak bukunya ngejelasin cara diet tanpa menderita Aku jg turun bbnya karena buku itu semoga membantu ya kak infonya
Positif;Semangat mbakaku jg 79 ini mulai olahraga biar agak kurusan
Positif;dia diet 8 tahun sabar bgt Gw bru sbulan BB msh sama udh ngeluuhh congrats mbak nyaaaaa Kerenbgt Smgaaku jga bsa
Negatif;Omong ya terlalu banyak
Negatif;Kakea omong
Positif;Saamaaaa aku jg baru duabulan masi turun sekilo udh kyk kudu nyerah
Positif;Sebelum melahirkan saya 50Kg Setelah melahirkan sekarang 60kg Tapi berasa gemuk banget sampai dibilang tambah memel Tapi itu tidak buat aku bahagia aku pengen ke Bb idealku dulu tapi aku masih menyusui kalau makannya di atur Taku gak happy trus setress huhuhu
Negatif;Apakah boleh makan bon cabe saat diet 
Positif;Kak kalo Deri gemuk jd agak kurus ada gelambir gak kulitnya Please jawabannya
Positif;Poh badan seperti panda bisa kecil juga
Positif;Terima kasih kerana kata2 kamu memberi semangat
Positif;Saya lg berproses tapi bukan tujuan utamanya diet atau pgn kurus itu bonus aja buat saya Tp sya fokus pd ke kesehatan aja biar fisik ada kekuatan juga gak gampang ambruk badannya awalnya BB sya 77kg krn sakit di bulan puasa kmarin BB sya jd 70kg Bulan juni 2021 sya mulai ikutan nge gym Juli off krn pandemi lg meningkat jd gak pergi nge gym slm 1 bulan Dan bulan agustus ini sya lanjut nge gym lg krn kondisi sdh di rasa aman tp ttp prokes  dan skrg BB sya 68kg Soal makan
Positif;Semangat teman
Positif;Terimakasih kak
Positif;Terima kasih kak jd s3mangat lg ni
Positif;Bismillah yuk kita bisa diet sehat
Positif;1 bulan berhasil turunin 10 kg
Positif;Terus caranya gimana
Negatif;Minum pa mbc
Positif;saya work out juga kak
Positif;semoga akhir tahun size baju ku dah bisa S aamiin
Positif;harus konsistens selalu n tutup kuping selalusemogo bisa sehat n bonus kurus segeraamiin
Positif;Aku juga motivasi diet selain biar langsing juga karena bully Bullying dari rumah sendiri itu sakit  padahal BB ku gak sampai 65 
Positif;70kg mau turun 50
Positif;Cuma mau Cerita Dikit Setahun yg lalu aku nekat Diet Ketat dgn Stop Semua Makanan/Minuman Manis dan Segala Gorengan dan Makan Hanya 1 Kali Saat Siang hari sajasisanya Minum Air Putihq lakuin itu karna kesel
Negatif;Rutin Olga ini yg susah 
Positif;AQ mau Kay badan kak
Negatif;Kamu bukannya belum good looking tapi belum ideal aja BB nya
Negatif;Bb aku 63 pengen 50kg turunin 13kg susahhhhh
Positif;SEmoga Saya Bisa seperti kamu 
Positif;Kak gimana caranya diet
Positif;Yuk ah bund boleh komen/tanya progressnya
Negatif;1 bulan 10kg turun Itu bunuh diri namanya
Negatif;Kenapa q gagal diet terusssss
Positif;Aku jg lg diet no karbo nih kak udh 5hari turun 2kg olahraga setiap hari 15mnt ikutin ka ULI SKWAD FITNES alhamdulilah sedikit demi sedikit mudh2an bs terkikis lemak jahat diperut
Positif;Sekarang dah turun berapa ka
Positif;Atur pola mkannnya gimn kak
Negatif;Aku maka kadang sekali sehari olah raga di rumah tiap sore ikutin apk tapi gk turun 2 BB nya 
Negatif;Masih muda gendut sering dikira dah Ibu ibu
Positif;Bb  55/56 kg tb  148 cm bb ideal  48/50 doain ya gais semoga aku bisa mencapai bb ideal aku
Positif;BB 62kg Tb 155cm Bb ideal 50/55 Smoga bisa balik lagi kaya awak mau nikah 50kg
Positif;Bb52 Tb152 Bb idola45 Hayuk lh semangat barengan
Positif;Ini seangkatan ku dulu pas kuliah memang bener2 berubah bgtzzzz
Positif;Sukses motivasi buat orang  yang sdang brjuang untuk mnrunkan berat badan
Positif;Thanks ka atas vidionya memotivasi diri sendiri untuk lebih berjuang lg
Positif;thank u SKWADthank u mbak Tia
Positif;7 bln lalu aku nonton ini aku start diet dr bb ku hampir 100kg malah prnh 115 kg wkt awal kuliah Skrg Alhamdulillah bb ku 71 kg Target msh 10kgan lagi laah  Bismillah
Positif;Trs olahraga nya apa ajaa
Positif;Tips diet nya dong kak
Negatif;Cepet to mbk omong terus langsung aja
Positif;2019  110kg 2020  104kg 2021  93kg masih usaha dari Febuari doain gaes
Positif;Yok bisa yok
Positif;73 pengen ke 55_60 hiksss
Negatif;yg buat contoh bkn kamu
Positif;Yokkk diet 
Positif;hallo kk vindi Masya Allah udah berhasil diet nya makasih banyak ya mbak aku juga lagi berjuang ni mbak dulu beratku 98 mbak dan akhir setelah perjuangan kecil ini berhasil turun 85 sekarang dan aku masih akan tetap berjuang di stak 65 setidak nya mbak doakan aku ya mbak supaya konsis sama diet ini dan melakukan nya karena cinta sama kesehatan dan tubuh bukan karena niat yg TDK baik makasih ya mbak apa yg mbak sampaikan benar benar itu pula yg aku rasakan dan buat emban semoga Allah lancarkan semua kegiatan emban buat embak sukses selalu dunia akhirat  salam kenal dan salam sayang aku mbak Salma dari padang
Positif;Motivasi banget Saya juga LG diet kalori Baru 2 pekan ini dibadan enak Seger G gampang capek Semangat teman2 yang lagi diet sehat
Negatif;Mbak aku dri kecil emng dh gemuk gtu smpek skrg heheheapakah bisa kurussoalnya aku udh sllu coba diet tapi gkprnh brhsil
Positif;Avv y Allah kak pingin bgtt kyk Kaka avv
Positif;Gini ya aku tuh badanya aja kecil tapi pinggul paha sma pantat kok bsa besar gtu Cara ngecelinya gimana sikasih saran gih plis
Positif;Kuncinya cuma satu Niat dan bersabar semua akan indah pada waktunya
Positif;Smngat smunya
Positif;brp lamawaktu yg di butuh kan
Positif;3 tahunan tapi Bisa 6 bulan sudah kurus
Positif;Gw yg 50 pgn 45
Positif;Kalau gak salah ini kaka yg tampil di yputobe kak yulia baltschun
Positif;sangat termotivasi
Positif;Sy butuh orang seperti kakak di sekitar saya
Positif;Kepingin kurus
Positif;Aku bb 70 tb 163 tapi udhh ngerasaa ini gg bisa di biarin 
Negatif;Iya nih saya juga sudah melakukan berbagai macam cara tapi yg ada bbku malah tambah naik
Positif;Puasa   work out guys terbaik
Positif;Makannya di atur ka
Positif;Puasa nya gimana ka
Positif;Sama aku juga 70 mens sih cuma seuprit itu pun sakit keluarnya Yuk diet sehat olahraga juga biar mens nya lancar dan sehat juga
Positif;Semangat yaa pejuang diet
Positif;Aduhh sama banget ceritanyaa Love deh
Positif;Aku juga pengen kurus dengan cepatcapek di bully truss d bilang gendut smoga vidio ini bisa membantu
Positif;Tunjukan dan buktikan kepada yang ngebully mbakklo mbak konsisten pasti akan berhasil ayoh semangat aku kasih mbak support
Positif;Diet itu sehat karna dlu aku suka sakit kpla sblh dan keringat yg berlebih 2an saat hbs mkn aplg brktftas omggstlh diet santai gprng slot kpla lg da ga brkbh keringatnya
Positif;tinggi ya ka pasti na dengan berat sblm na dan turun dgn berat yg di miliki oleh tinggi badan 150cm itu sdh jadi doraemon
Positif;Aku juga sekrang LG diet semoga berhasil yaawlloh aminnn
Positif;Semoga ber hasil 
Positif;Kok samaan sama mbak Yulia
Positif;ini yg d chanelnya kakyulia itu y
Positif;Goodinspirasi banget mba
Positif;Mbak sblum nya maaf ya mw tnya klo turun bnyak gitu  Kulit perut nya pasti ngelambir2 jdi d apain tuh
Positif;Ka mau turun BB
Positif;Setuju mbak Saya januari 2019 bb ku 75 Kg Dan sekarang april 2021 58 Kg Puji Tuhan BB saya stabil gk pernah naim tapi turun segari demi segaris Intinya paham diet itu apakosisten  tdk memaksa tubuh kita stress hanya krn mau instans tpi ttp jaga nutrisi badan seperti protein
Negatif;Kulitnya gelambir ya pastinya
Negatif;Aku juga ukuran baju nyiksaaa bgt ga dpt yg pas
Positif;Alhamdulillah saya dari bb 89 skrg 72 semangat pejuang size xs hehehhe
Positif;Butuh brp waktu kk
Positif;Luar biasa motivasinya Jadi semangat
Negatif;aku juga susah bgt mau diet  
Positif;Rahasia nya apa mb
Positif;kenapa ya orang gemuk selalu di bully apa untungnya utk para pembully apa mereka bangga bisa jatuhin mental orang lain ada yg tau jawabannya gak
Positif;Mau tu dek kaka juga gemuk mau nurunin berat badan
Positif;Katakata yang paling bener adalah dan nendang banget adalah “jangan sekalisekali kalian berdiet sebelum kalian memaafkan diri kalian sendiri” Sayangin dirimu
Positif;Aq pejuang diet dh berbagai mcm diet d lakuin dan skrg lg jalanin diet puasa 16 jam alhamdulillah brasa bgt turun ny 3haro turun 1 kilo tp aq emg dh gk mkn nasi 4thn mpe skrg
Positif;Hanya mkn sayur dan ikan ny j say
Positif;Alhamdulilah semenjak 9 maret aku niat diet langsung subscribe chanel ini Utk aktivati pagi sblm kerja skrng udh turun 2kgsemoga bisa semangat terus smpe lost 10kg
Positif;Tipsnya mba
Positif;semangat kaak 
Negatif;Sy BB 70 tp pengen ke BB 55 tp sush banget turunx
Positif;Aku dari 74 turun ke 68 selama seminggu  yuk bisa yuk pejuang glow up
Positif;Mama ku sangat ngedukung aku untuk diet alhamdulillah punya yang mendukung  terharu banget ya allah
Positif;Makasih y mbak semangat buat pejuang diett
Positif;Saya ikut ngedukung biar mbak tmbah semangat
Positif;Doakan aku ya supaya bisa langsing dan sehat aamiin ya allah
Negatif;stlh diet siklus mens lancar 
Positif;thank skwad fitnes belajar workout asik walaupan berat 
Positif;aduh ngomongnya sopan banget 
Positif;mendengar buruk brat doain aamiin 
Positif;masyaalloh semoga mengikuti jejak vindi sehat 
Positif;bismillah diet 
Positif;memotivasi banget diet rutin olahraga sebulan 
Positif;defisit kalori bangt smngt turun defisit kalori stop nasi smpe skrg 
Positif;allah moga smpe raya langsing kurus biar malu kalo main teman aminn allahh hiduppp pejuang diettt 
Positif;mbak gimana berhasil 
Positif;aamiin sist doakan langsing sehat aamiin 
Positif;diet susah bangett segi keluarga huftt nggak mendukung gitu halah diet sakit nyusahin orang huftt niat anjirr 
Positif;bikin susah nyerah gitu buktikan 
Positif;mantap
Negatif;kurus sampe libur masuk sampe sampe 
negatif;ngmong kasih solusi curhat 
Negatif;mkan shariq shari perut buncit bgtllu gnti mkan nasi 
Positif;nemu channel bagus banget sebulan turun 
negatif;besok bljar diet 
Positif;terberat work from home 
Positif;bismillahirrahmanirrahim february udah ikutan diet defisit kalori 
Negatif;hebat coba 
Positif;wooow bener dicoba niat banget 
Positif;memotivasi sumpahh skrg berhenti mens kegemukan akujuga gagal diet makan 
Positif;happy banget ketemu channel senamnya bikin happy 
positif;yesss lanjutin 
Positif;memotivasi vindhy makasih 
Positif;alhamdulillah diet berat badan minggu target setelaah target ideal bismillah hayooo diet semangat 
Negatif;makan makanan olahraga 
Positif;skwad wawancara kalo kurus hahahah 
Positif;pelan ngrubah pola makan biar sehat harian berkurang mash makan enak menu makan liat channel official 
Negatif;diet puasa kurus 
Negatif;turun kilo hanye bulansarapan kopi tanpe gule malam tidur minum rebusanlimau nipis 
Positif;awwl diet oernh berhasil ehhh swamiku selingkuh plakor ngomong gembroot maki situ semangat olga diet tdinya kilo skrg januari 
Positif;mbaaa semangat yaotw glowup semoga makinn cantik 
Positif;banyakngecaprak orang nungguincaprakkurangi exzennya 
Positif;makasih mbaak termotivasi mengembalikan tubuh melahirkan habis lahiran 
Negatif;berat badanku target semogaa bisaaa aminn 
positif;amin targt pengn 
Negatif;diet mkan rebus 
Positif;menit keep bener alesan knapa kadang konsisten diet 
Positif;ganti intermittent fasting defkal salah hitung kayaknya capek nimbangin makanan mulu makan hindari tepung 
positif;intermittent fasting 
negatif;keluarga gendut ngak kurus 
Positif;orang kurus gendut orang gendut kurus 
Positif;kalo pake mesti dibilang hamil 
Positif;ngitung kalorinya pake aplikasi gimana 
Positif;semoga lost vindy sedih korban buli terusan 
Positif;masyaallah terimakasih 
Positif;semangat diet olah raga nyatunjukan ngebully mbak mbak kunci konsisten keep strong down them take down 
positif;samasaam harison 
Positif;paham defisit kalori hitung makanan gimana 
positif;cari google tdee kalkulator 
Positif;terharu berkaca hehe 
Positif;berat baca komen tanggal 
Positif;lulus berat gara dibacotin lulus segini kuliah entar nikah pengen pacar lari sianglah beli jaket parasut setahun bener bullying emang sakit motivasi dampak positif 
Positif;pake turun berat badan kasih tolong 
negatif;diet debm 
Positif;kepingin turun mimpi 
Positif;alhamdulilah trun 
Positif;diet diet berat badanku nambah segitu kalo mikir diet makan apapun keinginanku berat badan nurun bilang kurusan diet senang dibilang kurusan ngatur makan dietku berat badan nambah 
Positif;pingin banget turun 
Positif;diet sehat semangat pejuang diet 
Positif;alhamdulillahskrng kgbuncit perut susah ngecilin 
Positif;samaan turun huhu pola makannya gmna 
positif;mksh kakya sayangi 
Negatif;turun berat badan 
negatif;mbak tulungagung jatim 
Positif;menstruasi salah mgkn barangkali bentar menstruasi teratur 
negatif;diet sdah kurus 
Positif;semangat pejuang diet stag pengen sulit banget 
Positif;minum skrg terkadang sesak nafas nyaman nurunin minum mohon butuh bantuan 
Positif;bener gemuknya bikin nyesekk inplan huhuhu sampe mentok kghuhuhu skrang progam diet diangka 
positif;mbaaa hubungi ngakk 
Negatif;rajin olah ragakarena membakar lemak olah ragajaga pola makansaya usia olah raga badan cepet naiknyatapi olah raga alhamdulillah diet berhasilsekarang diet sehabis keguguran diusia badan melarsemangaaattt olah raga 
Positif;alhmdulillah diet lancar target doain gasy tercapai targetnya aminn 
Positif;pola makan life style jaga 
Positif;doaiin smoga berhasil 
Positif;semangat teman pejuang diet konsisten berharap diet 
Positif;kaloo pernahh diett teross males gituu trss jadii lagii ituu udahh turun gagall karnaa malesss 
