id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,;;
"11,""Adi Terapi Yogya"",""Alhamdulillah akhirnya membuahkaan hasil usaha kerasnya ,,,,selamat mbak"",""UgyXxUxrmHtMxNnkzrB4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgyXxUxrmHtMxNnkzrB4AaABAg"",""2023-09-13 01:11:47"",0,""Alhamdulillah akhirnya membuahkaan hasil usaha kerasnya ,,,,selamat mbak"",""http://www.youtube.com/channel/UCwKz1yMSU2PzoTfDd0oR9Sg"",";;
"12,""gita cintarti fiqdiany"",""Kalau akuuuu Alhamdulillah...kata orang orang yang liat badan aku,body goals, Alhamdulillah banyak yang suka sama badan aku tapiiiiiiiiii kolesterol aku tinggi,gustiiiiiii Jadi......sama ba,sekarang aku diet,mkch banyak ya ba...udha share,aku termotivasi banget,ba aja bisa,artinya aku pun bisa 💪💪💪"",""Ugw33df3kQT6xsXXsUl4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=Ugw33df3kQT6xsXXsUl4AaABAg"",""2023-09-09 08:29:57"",0,""Kalau akuuuu Alhamdulillah...kata orang orang yang liat badan aku,body goals, Alhamdulillah banyak yang suka sama badan aku tapiiiiiiiiii kolesterol aku tinggi,gustiiiiiii Jadi......sama ba,sekarang aku diet,mkch banyak ya ba...udha share,aku termotivasi banget,ba aja bisa,artinya aku pun bisa 💪💪💪"",""http://www.youtube.com/channel/UCruBlJ-FINWc4qKAHRvFpHA"",";;
"13,""2B-TKI_Gina Wardahtul Humairoh"",""Kemarin abis lebaran karena banyak nyemil juga berat badan aku naik sampe 59 kilo, karena udah mau wisuda juga takut nggak pede pake kebaya, aku mulai diet, dari olahraga, jaga pola makan, udah nggak beli gorengan, bakso, mie, seblak dll. Alhamdulillah sekarang berat badan aku mulai turun, sekarang jadi 54 kilo. Buat pejuang diet, semangat yaa, kita pasti bisa kok kalau konsisten 🥰"",""Ugzr4s73YIw-OfAWzoZ4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=Ugzr4s73YIw-OfAWzoZ4AaABAg"",""2023-08-01 00:37:41"",0,""Kemarin abis lebaran karena banyak nyemil juga berat badan aku naik sampe 59 kilo, karena udah mau wisuda juga takut nggak pede pake kebaya, aku mulai diet, dari olahraga, jaga pola makan, udah nggak beli gorengan, bakso, mie, seblak dll. Alhamdulillah sekarang berat badan aku mulai turun, sekarang jadi 54 kilo. Buat pejuang diet, semangat yaa, kita pasti bisa kok kalau konsisten 🥰"",""http://www.youtube.com/channel/UCTdMVgXWnY2aJh2P6DAL4EA"",";;
"14,""agoenkbanyu biru"",""Makanan defisit kalori itu seperti apa kk"",""Ugw05cW_BMv1WksskYZ4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=Ugw05cW_BMv1WksskYZ4AaABAg"",""2023-07-27 09:13:39"",0,""Makanan defisit kalori itu seperti apa kk"",""http://www.youtube.com/channel/UCjZt-2mVvObhAYaTsMGEzNg"",";;
"15,""Nur hayati"",""Diet juga selalu berhasil tp sya selalu gagal memperthnkan berat badan aq"",""Ugw6EuJZ0DPIkHxFDlV4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=Ugw6EuJZ0DPIkHxFDlV4AaABAg"",""2023-07-25 18:31:10"",0,""Diet juga selalu berhasil tp sya selalu gagal memperthnkan berat badan aq"",""http://www.youtube.com/channel/UCxaVtT0pa9yza1jGJJgysfA"",";;
"16,""Hany Faae"",""Diet aku udh jalan kurAng lebih 10hari .. Alhamdulillah dari 77kg sekian, sekarang 74kg .. Aku ikutin diet ala ade ray ya makannya dari jam 11 siang sampe jam 5 sore dan dibarengi workout dirumah 30mnt sampai 45mnt setiap hari . Semangat ya pejuang diet"",""Ugx0xfUtHlyxYvmqHSd4AaABAg"","""",2,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=Ugx0xfUtHlyxYvmqHSd4AaABAg"",""2023-06-13 10:20:13"",0,""Diet aku udh jalan kurAng lebih 10hari .. Alhamdulillah dari 77kg sekian, sekarang 74kg .. Aku ikutin diet ala ade ray ya makannya dari jam 11 siang sampe jam 5 sore dan dibarengi workout dirumah 30mnt sampai 45mnt setiap hari . Semangat ya pejuang diet"",""http://www.youtube.com/channel/UCb1QVMSekQ6LlgOsRhais4g"",";;
"17,""🎯𝘼𝙮𝙪 𝘼𝙮𝙤𝙚 𝙊𝙮𝙚💘"",""TB ku 163cm..pas berat badanku naik jd 59KG aku sdh kebingungan...soalnya biasanya BB ku 45kg-48kg...ternyata habis sakit itu mlh bikin gemuk..."",""UgzqPFMX8UkzGLEnhhp4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgzqPFMX8UkzGLEnhhp4AaABAg"",""2023-05-20 00:10:18"",0,""TB ku 163cm..pas berat badanku naik jd 59KG aku sdh kebingungan...soalnya biasanya BB ku 45kg-48kg...ternyata habis sakit itu mlh bikin gemuk..."",""http://www.youtube.com/channel/UCF6M7gHrL_kQWUbKt0vwr5A"",";;
"18,""Adz shereen shaqueena"",""Ini tetanggakuu,,salut banget dia berhasil dietnya 😎😎"",""UgwBqpGAXBsLrCCaQMd4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgwBqpGAXBsLrCCaQMd4AaABAg"",""2023-05-18 18:06:26"",0,""Ini tetanggakuu,,salut banget dia berhasil dietnya 😎😎"",""http://www.youtube.com/channel/UCSGHn7L3gY-x9pF987DQuKw"",";;
"19,""Rita Diarta"",""Konsisten ny lah yg susah 😭"",""UgxUvMQlboHgUs0XaZh4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgxUvMQlboHgUs0XaZh4AaABAg"",""2023-02-26 08:42:50"",0,""Konsisten ny lah yg susah 😭"",""http://www.youtube.com/channel/UC3BZQCc--OX4s57c3pjofzA"",";;
"20,""Nur Hafifah"",""❤❤❤"",""Ugz5vlrCDuB1UkcFjmd4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=Ugz5vlrCDuB1UkcFjmd4AaABAg"",""2023-02-24 04:30:26"",0,""❤❤❤"",""http://www.youtube.com/channel/UCPw0JFLYn2kpX3QBX4ASyow"",";;
"21,""iwannaseeyou"",""Speed 1,5x enak bgt ges 😅👍🏻"",""UgyXQEcpbUjC8loeaWF4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgyXQEcpbUjC8loeaWF4AaABAg"",""2023-02-19 05:20:39"",0,""Speed 1,5x enak bgt ges 😅👍🏻"",""http://www.youtube.com/channel/UCZpJpmaLAeJoFuC680I1_-A"",";;
"22,""Srirahayu001 Rahayu001"",""Apakah mengkonsumsi obat itu pengaruh pada berat badan? Soal nya aku ko merasa berat badan ga turun2 ya padahal makan jarang ngemil apalagi, olahraga sering, minum air putih cukup jg tapi kenapa ga turun2 ya? Yaa walaupun ga naik jg sih tapi tetap bertahan aja di angka segitu berat badan ku tuh 😔, Pengen bgt deh turun berat ku"",""Ugz5UMMWXg0x5kovYYB4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=Ugz5UMMWXg0x5kovYYB4AaABAg"",""2023-02-03 18:00:51"",0,""Apakah mengkonsumsi obat itu pengaruh pada berat badan? Soal nya aku ko merasa berat badan ga turun2 ya padahal makan jarang ngemil apalagi, olahraga sering, minum air putih cukup jg tapi kenapa ga turun2 ya? Yaa walaupun ga naik jg sih tapi tetap bertahan aja di angka segitu berat badan ku tuh 😔, Pengen bgt deh turun berat ku"",""http://www.youtube.com/channel/UCdz6H05qCzuef_OIWgpTz3A"",";;
"23,""Viiiyna"",""inget waktu bb aku masih 75 tb 160,berat banget rasanya,mau kemana2 malu g pede gara2 badan gembul,mutusin diet kalori juga g kuat karena doyan ngemil,akhirnya cuma modal senam aerobik aja setiap hari 30 menit,alhamdulilah turun 12 kg jadi 63 kg dalam 3 bulan,kalo makan tetep seblak,bakso,mi ayam. intinya kalo diet jangan dipaksain,tetep makan yg kalian suka dan rajin olahraga."",""Ugz-SN_JnV6tb6pNsEd4AaABAg"","""",3,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=Ugz-SN_JnV6tb6pNsEd4AaABAg"",""2023-01-28 07:23:48"",2,""inget waktu bb aku masih 75 tb 160,berat banget rasanya,mau kemana2 malu g pede gara2 badan gembul,mutusin diet kalori juga g kuat karena doyan ngemil,akhirnya cuma modal senam aerobik aja setiap hari 30 menit,alhamdulilah turun 12 kg jadi 63 kg dalam 3 bulan,kalo makan tetep seblak,bakso,mi ayam. intinya kalo diet jangan dipaksain,tetep makan yg kalian suka dan rajin olahraga."",""http://www.youtube.com/channel/UCv6p2c1uT7Ylf6wrczC1DIQ"",";;
"24,""Viiiyna"",""@Sri Yanti aku pas bb awal 75 itu setiap hari senam aerobik 30 menit malam sebelum tidur/ sore mau mandi,pas udah 63 udah g rutin,cuma seminggu 3 kali senamnya kak"",""Ugz-SN_JnV6tb6pNsEd4AaABAg.9lQrmtXinc49lf-a-YIhm6"",""Viiiyna"",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=Ugz-SN_JnV6tb6pNsEd4AaABAg.9lQrmtXinc49lf-a-YIhm6"",""2023-02-03 04:29:17"",0,""@Sri Yanti aku pas bb awal 75 itu setiap hari senam aerobik 30 menit malam sebelum tidur/ sore mau mandi,pas udah 63 udah g rutin,cuma seminggu 3 kali senamnya kak"",""http://www.youtube.com/channel/UCv6p2c1uT7Ylf6wrczC1DIQ"",";;
"25,""Sri Yanti"",""TB kita sma kak 160cm,tp Bb 70kg...badan udah berat bgt...aerobik setiap hr atau gmn kak"",""Ugz-SN_JnV6tb6pNsEd4AaABAg.9lQrmtXinc49leYKMEFnbu"",""Viiiyna"",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=Ugz-SN_JnV6tb6pNsEd4AaABAg.9lQrmtXinc49leYKMEFnbu"",""2023-02-03 00:13:36"",0,""TB kita sma kak 160cm,tp Bb 70kg...badan udah berat bgt...aerobik setiap hr atau gmn kak"",""http://www.youtube.com/channel/UCa_-sacgtlIv3ZN57ab5jFg"",";;
"26,""Apri dwita kuncahya sari"",""Kak... kulitnya gelewer gelewer gak?"",""Ugzd0CDQoRm1nYEeDXN4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=Ugzd0CDQoRm1nYEeDXN4AaABAg"",""2023-01-26 18:07:14"",0,""Kak... kulitnya gelewer gelewer gak?"",""http://www.youtube.com/channel/UCaEmxczBNywh5HXo8iDciKA"",";;
"27,""Tegar Gr"",""Setelah 7 bulan diet gua bisa buktiin ke orang orang bahwa gua bisa kurus yang darinya 86 sekarang 54 gua ber syukur banget"",""Ugy7NrfM6KEnH-FOdvt4AaABAg"","""",2,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=Ugy7NrfM6KEnH-FOdvt4AaABAg"",""2023-01-23 04:54:29"",1,""Setelah 7 bulan diet gua bisa buktiin ke orang orang bahwa gua bisa kurus yang darinya 86 sekarang 54 gua ber syukur banget"",""http://www.youtube.com/channel/UC0nFTj9MXy-2oxfcxz9JVCg"",";;
"28,""ahmad istanto"",""Caranya kak"",""Ugy7NrfM6KEnH-FOdvt4AaABAg.9lDiivTPTXS9laBQ4Z-BGN"",""Tegar Gr"",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=Ugy7NrfM6KEnH-FOdvt4AaABAg.9lDiivTPTXS9laBQ4Z-BGN"",""2023-02-01 07:36:27"",0,""Caranya kak"",""http://www.youtube.com/channel/UCOCKAbfQq67pSZyar9C_NoA"",";;
"29,""Riry Ragita"",""November 2022 masih 77kg itu bb terberatku, skrg januari 2023 alhamdulillah sudah 67kg, berat idealku 59kg soalnya tinggi 170cm, masih harus nurunin 8kg lagi.."",""UgwRX82HWwRpFw1tj0J4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgwRX82HWwRpFw1tj0J4AaABAg"",""2023-01-19 22:29:51"",0,""November 2022 masih 77kg itu bb terberatku, skrg januari 2023 alhamdulillah sudah 67kg, berat idealku 59kg soalnya tinggi 170cm, masih harus nurunin 8kg lagi.."",""http://www.youtube.com/channel/UCB1b2ivkkMO78_dFVz3zntQ"",";;
"30,""Dewi K. Pamungkas"",""Oooh MY GOD VINDYYY 😆"",""Ugx2aAnpb5o78FR6uYN4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=Ugx2aAnpb5o78FR6uYN4AaABAg"",""2023-01-18 08:32:30"",0,""Oooh MY GOD VINDYYY 😆"",""http://www.youtube.com/channel/UCIav1GtrMTSxSR8VurH6g2w"",";;
"31,""nini sari"",""MaashaaAllah, perjuangan diet itu memang bukan setahun - dua tahun yaa, harus dijadikan kebiasaan... baru saja hampir menyerah padahal baru 6 bulan"",""Ugx42EvSCbBmOqU-MZZ4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=Ugx42EvSCbBmOqU-MZZ4AaABAg"",""2023-01-12 00:14:20"",0,""MaashaaAllah, perjuangan diet itu memang bukan setahun - dua tahun yaa, harus dijadikan kebiasaan... baru saja hampir menyerah padahal baru 6 bulan"",""http://www.youtube.com/channel/UCTNqBWnT3X9288a31_7WFgQ"",";;
"32,""Elma Cantika"",""Kya akuu😂"",""UgzuhF4qWsSt6RRr1Hx4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgzuhF4qWsSt6RRr1Hx4AaABAg"",""2023-01-10 18:04:29"",0,""Kya akuu😂"",""http://www.youtube.com/channel/UCnQoxL9358PAQAoulQCPDHQ"",";;
"33,""Nur Hayani"",""Saya kalau ngejalanin diet, selama seminggu/dua Minggu rajin Olga , makan di jaga tapi kesanaannya Olga udah malas dan kendooorrr semangatnya🤣🤣🤣dasar aku"",""UgwtWAGcAdPd3rY8VnJ4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgwtWAGcAdPd3rY8VnJ4AaABAg"",""2023-01-07 23:17:33"",0,""Saya kalau ngejalanin diet, selama seminggu/dua Minggu rajin Olga , makan di jaga tapi kesanaannya Olga udah malas dan kendooorrr semangatnya🤣🤣🤣dasar aku"",""http://www.youtube.com/channel/UC9dAWldrKJ9AoMKoQWRhYCw"",";;
"34,""Atika Fauziah"",""Memang diet itu harus nekad dan ikhlas hatiiii spy berhasil , klau sy sih olah raga nya rutin dan gampang tapi menahan godaan makanan nya yg ku rasa palingggg berattttt"",""Ugzcby8OJR05-ybZ8I54AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=Ugzcby8OJR05-ybZ8I54AaABAg"",""2023-01-07 07:32:10"",0,""Memang diet itu harus nekad dan ikhlas hatiiii spy berhasil , klau sy sih olah raga nya rutin dan gampang tapi menahan godaan makanan nya yg ku rasa palingggg berattttt"",""http://www.youtube.com/channel/UCbkzb3sDl2Qbjb6Z3KjAfpA"",";;
"35,""ainun asmawati"",""Bismillah mulai diet awal tahun 2023"",""UgzkOC2QnKrkE3ryEXB4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgzkOC2QnKrkE3ryEXB4AaABAg"",""2023-01-06 19:39:03"",0,""Bismillah mulai diet awal tahun 2023"",""http://www.youtube.com/channel/UCMCJOMOYm0UKTtohuifmb0g"",";;
"36,""Dwi Nur Handayani"",""Diet sebenarnya mudah atur pola mkn aj dn yg penting konsisten in syaa Alloh cpt turun dn berhasil"",""Ugy2oSxmmqyNzFidPyV4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=Ugy2oSxmmqyNzFidPyV4AaABAg"",""2023-01-03 04:14:46"",0,""Diet sebenarnya mudah atur pola mkn aj dn yg penting konsisten in syaa Alloh cpt turun dn berhasil"",""http://www.youtube.com/channel/UCMU6Sk3MH97-It2Ib14oAHw"",";;
"37,""Mimah Dzaky Azzamy"",""Setelah melahirkan bb ku stuck di 70 kg pengen jadi 55 semoga bisa ☺"",""Ugy9uSVqxrLyaXv1Kml4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=Ugy9uSVqxrLyaXv1Kml4AaABAg"",""2022-12-29 22:29:54"",0,""Setelah melahirkan bb ku stuck di 70 kg pengen jadi 55 semoga bisa ☺"",""http://www.youtube.com/channel/UCaj68jHPxEsKc1KVU0gQ9XQ"",";;
"38,""Afrina Ika s"",""Gurukuuu🥰"",""UgwrVQRVQcjZrT7lxNl4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgwrVQRVQcjZrT7lxNl4AaABAg"",""2022-12-28 10:58:59"",0,""Gurukuuu🥰"",""http://www.youtube.com/channel/UCMtYNbz1e6s_2azvNZrD_-A"",";;
"39,""Ss 21"",""Dulu pas habis lebaran pernah bbku mencapai 59kg beneran keliatan gendut banget, btw tinggiku 155cm Itu udah ngerasa berat bgt di tubuh, gampang capek, celana baju sesak semua, trus aku berusaha turunin dan bisa turun sampe 55kg, ini mau aku turunin lagi sampe 50kg tapi susah bgt, stuck terus, moga dengan liat video motivasi gini jadi semangat lagi aku."",""UgxVft_1fG3GAiHzhrJ4AaABAg"","""",2,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgxVft_1fG3GAiHzhrJ4AaABAg"",""2022-12-18 08:08:35"",0,""Dulu pas habis lebaran pernah bbku mencapai 59kg beneran keliatan gendut banget, btw tinggiku 155cm Itu udah ngerasa berat bgt di tubuh, gampang capek, celana baju sesak semua, trus aku berusaha turunin dan bisa turun sampe 55kg, ini mau aku turunin lagi sampe 50kg tapi susah bgt, stuck terus, moga dengan liat video motivasi gini jadi semangat lagi aku."",""http://www.youtube.com/channel/UCMIjPQTej54Jigeg7DDpqZg"",";;
"40,""Denia Makeup"",""Kak aku 70 aja udah gendut amat. Tinggiku 159. udah obesitas kata dokter ku. Oh tuhan.."",""UgxG3J5qlguk5cg2a3V4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgxG3J5qlguk5cg2a3V4AaABAg"",""2022-12-17 22:36:22"",3,""Kak aku 70 aja udah gendut amat. Tinggiku 159. udah obesitas kata dokter ku. Oh tuhan.."",""http://www.youtube.com/channel/UCfO5GD3aEKwLxsUz96Uc6zA"",";;
"41,""Krisna Channel"",""@Resa Ap20 itu mirip kek puasa"",""UgxG3J5qlguk5cg2a3V4AaABAg.9jlLq1pIBxs9lAbG8imZyF"",""Denia Makeup"",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgxG3J5qlguk5cg2a3V4AaABAg.9jlLq1pIBxs9lAbG8imZyF"",""2023-01-21 23:51:32"",0,""@Resa Ap20 itu mirip kek puasa"",""http://www.youtube.com/channel/UCG14AUEgQv8HKglVpP6dpVw"",";;
"42,""Resa Ap20"",""@Bunga Lubis defisit kalori gmna sih ka aku ga ngerti"",""UgxG3J5qlguk5cg2a3V4AaABAg.9jlLq1pIBxs9kw85a1p-C4"",""Denia Makeup"",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgxG3J5qlguk5cg2a3V4AaABAg.9jlLq1pIBxs9kw85a1p-C4"",""2023-01-15 23:39:20"",0,""@Bunga Lubis defisit kalori gmna sih ka aku ga ngerti"",""http://www.youtube.com/channel/UCzR_tr0KzBleZfLfNV0ccIg"",";;
